Frequency_Hz,Magnitude_dB,Phase_deg,Coherence
0.5436,67.0343,-94.39,0.7334
0.7248,67.3582,-111.21,0.5244
0.9060,68.0569,-114.16,0.7512
1.0872,65.7045,-112.65,0.6318
1.2684,65.5902,-118.65,0.7131
1.4496,66.9070,-102.19,0.7998
1.6308,65.9105,-106.15,0.8650
1.8120,64.7440,-100.46,0.9026
1.9932,64.2070,-105.14,0.7973
2.1744,65.2049,-119.81,0.8051
2.3556,64.5429,-117.21,0.9073
2.5368,63.1478,-119.70,0.8844
2.7180,62.0381,-118.99,0.8592
2.8992,61.5585,-122.59,0.8545
3.0804,61.0742,-122.05,0.8466
3.2616,60.3315,-115.40,0.8708
3.4428,60.0251,-124.51,0.9038
3.6240,60.0016,-128.36,0.8724
3.8052,58.6152,-124.80,0.8603
3.9864,57.3819,-133.28,0.8573
4.1676,58.5835,-131.98,0.9270
4.3488,58.3395,-130.00,0.9588
4.5300,57.7690,-128.15,0.9309
4.7112,56.9776,-129.19,0.8762
4.8924,56.2303,-133.63,0.7810
5.0736,55.8134,-137.78,0.7700
5.2548,55.9553,-139.55,0.7936
5.4360,55.7362,-143.48,0.7443
5.6172,55.0997,-150.03,0.6668
5.7984,55.1955,-157.41,0.6358
5.9796,54.8039,-165.53,0.5797
6.1608,53.9851,-166.70,0.5501
6.3420,54.6863,-167.90,0.6385
6.5232,54.0588,-170.54,0.6370
6.7044,53.4963,-170.46,0.5637
6.8856,53.7307,-166.53,0.6552
7.0668,53.5868,-165.28,0.6336
7.2480,52.2653,-154.39,0.5671
7.4292,52.6689,-152.54,0.6024
7.6104,52.4424,-155.39,0.6310
7.7916,51.9426,-158.21,0.6139
7.9728,52.1921,-156.95,0.6854
8.1540,52.2629,-159.33,0.7866
8.3352,52.0056,-160.29,0.8288
8.5164,51.6534,-154.37,0.8685
8.6976,51.3662,-153.08,0.8933
8.8788,51.5126,-155.78,0.9069
9.0600,51.2996,-155.03,0.9038
9.2412,50.9563,-155.87,0.8842
9.4224,50.7655,-157.82,0.8425
9.6036,50.7867,-165.59,0.7990
9.7848,51.1784,-170.92,0.7775
9.9660,51.3235,-173.64,0.7446
10.1472,51.5069,-175.57,0.7541
10.3284,51.1162,-174.43,0.7437
10.5096,51.3230,-172.89,0.7881
10.6908,50.7554,-170.79,0.7587
10.8720,51.0336,-168.99,0.7965
11.0532,50.7881,-170.21,0.8470
11.2344,50.0083,-171.38,0.8707
11.4156,49.6202,-167.66,0.8668
11.5969,49.5878,-166.37,0.8747
11.7781,49.2112,-170.21,0.8905
11.9593,49.4074,-167.67,0.9104
12.1405,49.4738,-169.98,0.9503
12.3217,49.1029,-168.61,0.9606
12.5029,49.2142,-168.08,0.9724
12.6841,48.9490,-171.74,0.9718
12.8653,48.4101,-171.86,0.9509
13.0465,48.2109,-171.02,0.9464
13.2277,48.0809,-172.54,0.9411
13.4089,47.8697,-173.66,0.9466
